date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:41	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226792e91d-239b%22	https://themewagon.github.io/robots.txt		(from )
23:04:41	34605/34605	---M-Z	200	added ('OK')	text/html	etag:W/%2263a02cdb-872d%22	https://themewagon.github.io/winkel/	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/index.html	(from )
23:04:41	9467/9467	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-24fb%22	https://themewagon.github.io/winkel/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/open-iconic-bootstrap.min.css	(from https://themewagon.github.io/winkel/)
23:04:42	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-11fa9%22	https://themewagon.github.io/winkel/css/animate.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/animate.css	(from https://themewagon.github.io/winkel/)
23:04:42	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-d70%22	https://themewagon.github.io/winkel/css/owl.carousel.min.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/owl.carousel.min.css	(from https://themewagon.github.io/winkel/)
23:04:42	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-3c5%22	https://themewagon.github.io/winkel/css/owl.theme.default.min.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/owl.theme.default.min.css	(from https://themewagon.github.io/winkel/)
23:04:43	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-1b26%22	https://themewagon.github.io/winkel/css/magnific-popup.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/magnific-popup.css	(from https://themewagon.github.io/winkel/)
23:04:43	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-657f%22	https://themewagon.github.io/winkel/css/aos.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/aos.css	(from https://themewagon.github.io/winkel/)
23:04:44	46816/46816	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-b6e0%22	https://themewagon.github.io/winkel/css/ionicons.min.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/ionicons.min.css	(from https://themewagon.github.io/winkel/)
23:04:44	17945/17945	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-4619%22	https://themewagon.github.io/winkel/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/bootstrap-datepicker.css	(from https://themewagon.github.io/winkel/)
23:04:44	1588/1588	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-634%22	https://themewagon.github.io/winkel/css/jquery.timepicker.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/jquery.timepicker.css	(from https://themewagon.github.io/winkel/)
23:04:45	1229/1229	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-4cd%22	https://themewagon.github.io/winkel/css/flaticon.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/flaticon.css	(from https://themewagon.github.io/winkel/)
23:04:45	79875/79875	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-13803%22	https://themewagon.github.io/winkel/css/icomoon.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/icomoon.css	(from https://themewagon.github.io/winkel/)
23:04:45	271826/271826	---M-Z	200	added ('OK')	text/css	etag:W/%2263a02cdb-425d2%22	https://themewagon.github.io/winkel/css/style.css	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/css/style.css	(from https://themewagon.github.io/winkel/)
23:04:46	34605/34605	---M-Z	200	added ('OK')	text/html	etag:W/%2263a02cdb-872d%22	https://themewagon.github.io/winkel/index.html	C:/My%20Web%20Sites/fashion/themewagon.github.io/winkel/index-2.html	(from https://themewagon.github.io/winkel/)
